epoch,ingredients_auc,ingredients_loss,ingredients_precision,ingredients_recall,learning_rate,loss,nutrition_loss,nutrition_scaled_mae,val_ingredients_auc,val_ingredients_loss,val_ingredients_precision,val_ingredients_recall,val_loss,val_nutrition_loss,val_nutrition_scaled_mae
0,0.6726221442222595,0.04046420007944107,0.2843458652496338,0.43294230103492737,0.0010000000474974513,0.08479540050029755,0.04437260702252388,0.19889160990715027,0.8174320459365845,0.03141823410987854,0.4368187189102173,0.4726954996585846,0.05384882166981697,0.02243058942258358,0.137236088514328
1,0.7964417338371277,0.0323384590446949,0.4035336971282959,0.5177552103996277,0.0010000000474974513,0.05871718004345894,0.02604595385491848,0.1563004106283188,0.8541763424873352,0.029006553813815117,0.4396747946739197,0.5906509160995483,0.056235287338495255,0.02722872607409954,0.1659209430217743
2,0.8325441479682922,0.030495397746562958,0.43124285340309143,0.5684844851493835,0.0010000000474974513,0.05522759258747101,0.025478912517428398,0.15100350975990295,0.8733912110328674,0.027791645377874374,0.4097931385040283,0.683704674243927,0.04757688567042351,0.01978524588048458,0.13099077343940735
3,0.8500729203224182,0.02898986078798771,0.43991294503211975,0.6087508201599121,0.0010000000474974513,0.05222010612487793,0.02353995107114315,0.14807629585266113,0.8782293796539307,0.026502560824155807,0.5032579302787781,0.5736129283905029,0.04614102840423584,0.019638465717434883,0.13452614843845367
4,0.8601486086845398,0.02812834270298481,0.4487835764884949,0.618500292301178,0.0010000000474974513,0.05059453472495079,0.022443411871790886,0.1448391079902649,0.8908165097236633,0.025151027366518974,0.5051038265228271,0.6269113421440125,0.043261270970106125,0.01811024360358715,0.12437652051448822
5,0.8736320734024048,0.02681487239897251,0.46878862380981445,0.6315789222717285,0.0010000000474974513,0.04738728329539299,0.020768431946635246,0.13816531002521515,0.8946734666824341,0.024987421929836273,0.48208674788475037,0.6701616644859314,0.04477855563163757,0.019791139289736748,0.13758033514022827
6,0.8795679211616516,0.02613447979092598,0.4732311964035034,0.6536937355995178,0.0010000000474974513,0.046268295496702194,0.01986568048596382,0.13631989061832428,0.9013590812683105,0.02404194138944149,0.5150703191757202,0.6719091534614563,0.043550752103328705,0.019508805125951767,0.13227100670337677
7,0.8937628865242004,0.024951588362455368,0.49666252732276917,0.6664552688598633,0.0003000000142492354,0.043772198259830475,0.020310349762439728,0.13558880984783173,0.9041462540626526,0.023564143106341362,0.5234482884407043,0.6631717085838318,0.04151107743382454,0.017946938052773476,0.1276678740978241
8,0.8926048278808594,0.025343328714370728,0.495137095451355,0.6698636412620544,0.0003000000142492354,0.04347652941942215,0.018322348594665527,0.1326720267534256,0.903937816619873,0.023511048406362534,0.5258560180664062,0.6574923396110535,0.04104692116379738,0.017535869032144547,0.12492521852254868
9,0.8987253308296204,0.02466544136404991,0.5015276074409485,0.6766011118888855,0.0003000000142492354,0.04188031330704689,0.017271576449275017,0.12764868140220642,0.9065712690353394,0.023250246420502663,0.5183365941047668,0.6915683746337891,0.039937250316143036,0.016686998307704926,0.12078528851270676
10,0.9035613536834717,0.023969387635588646,0.507331907749176,0.6883322596549988,0.0003000000142492354,0.04162159562110901,0.01759718544781208,0.13012121617794037,0.9085211157798767,0.023129204288125038,0.5233489274978638,0.6854521632194519,0.03998567536473274,0.016856465488672256,0.11911854147911072
11,0.9027324914932251,0.023914840072393417,0.5026652216911316,0.6951490044593811,0.0003000000142492354,0.04013264551758766,0.016105815768241882,0.12376054376363754,0.909526526927948,0.022868406027555466,0.5280186533927917,0.6915683746337891,0.039111439138650894,0.01624303311109543,0.12101724743843079
0,0.9081052541732788,0.0235099196434021,0.5140001177787781,0.6969720721244812,9.999999747378752e-06,0.039617765694856644,0.015934564173221588,0.12446952611207962,0.9108758568763733,0.022703969851136208,0.5255616903305054,0.7051113843917847,0.03847932070493698,0.015775345265865326,0.11856311559677124
1,0.9088720679283142,0.023585142567753792,0.5119631290435791,0.7038680911064148,9.999999747378752e-06,0.038644541054964066,0.015137760899960995,0.12031655758619308,0.9110304117202759,0.02266337163746357,0.5383824706077576,0.6863259077072144,0.038164664059877396,0.01550129521638155,0.11562559008598328
2,0.9102843403816223,0.023207299411296844,0.5159518718719482,0.6999048590660095,9.999999747378752e-06,0.03798884525895119,0.014695652760565281,0.12049349397420883,0.9120815992355347,0.022536737844347954,0.5252264142036438,0.7094801068305969,0.03784351423382759,0.015306778252124786,0.11603021621704102
3,0.9105282425880432,0.023058047518134117,0.5172594785690308,0.7031547427177429,9.999999747378752e-06,0.038475342094898224,0.015198915265500546,0.11865802109241486,0.9124324917793274,0.022472627460956573,0.536912739276886,0.6989951729774475,0.037578415125608444,0.015105784870684147,0.11549052596092224
